246721424318191, 306735195971895, 195640804079938 @ 46, -42, 141
286716952521568, 348951612232772, 274203424013154 @ 121, 421, -683
231402843137765, 83297412652001, 273065723902291 @ 30, 154, 66
149007003797913, 135560881744452, 410108443488148 @ 94, 29, -45
300753321910904, 325992413695632, 294261243172676 @ -42, -9, -109
300781588558364, 344948875944323, 229364859114892 @ 13, 498, -357
302416458755294, 412874844208922, 178639130881522 @ 28, 6, 18
540472514518877, 478952261686592, 505458461450740 @ -312, -311, -173
276629207785995, 379893174962255, 152821077152811 @ 128, 52, 262
223200859996270, 114056922580498, 375502982328520 @ 28, 74, -27
312505186925210, 415915381089560, 212826752815317 @ -81, -143, -118
273794100456071, 282467744290445, 306298513451258 @ -24, -98, 41
259245649187948, 316374707389376, 294906031108960 @ 43, -15, -79
143643667453234, 88866006914236, 353368801626174 @ 184, 251, -86
332368149189662, 334747534451742, 385329199247756 @ -120, -12, -361
268933652419162, 421740118342042, 391493101790816 @ 94, -214, -679
301531784847016, 413994789138520, 287794043139863 @ -47, -223, -46
176915604519101, 138271809955392, 377724585323003 @ 102, 105, -70
309189878135560, 419571934158352, 180163951121044 @ -56, -67, -12
262132992306992, 267518766563744, 349909481560834 @ 181, 593, -756
239788061990996, 301077791945030, 218822561314048 @ 99, 46, 69
319370801477810, 392479898544435, 249482280086024 @ -117, -28, -281
288707028447527, 410618924373965, 181576682269387 @ 100, -78, 62
244521854811880, 283051561687366, 418795729455662 @ 89, 90, -398
238807520082063, 136241007048093, 324715592395753 @ 10, 44, 30
294299994571745, 385145428484483, 195910731717085 @ 58, 124, -52
306461763665864, 387268253700128, 204685867171204 @ -40, 70, -89
150598729402492, 216934671296672, 388007739625504 @ 95, -47, -27
195072796221443, 297575703140000, 142754563217814 @ 138, -23, 233
430769604245252, 229973070563291, 434035646179750 @ -195, -40, -99
332353368526034, 135412329046925, 122938613925455 @ -105, 292, 272
310982937073304, 311524964955440, 149455427070268 @ -71, 517, 290
343115420460683, 228216500870165, 218120975698582 @ -114, 52, 113
327597792982512, 372487719333498, 196100842247682 @ -155, 56, 32
398064309447116, 225098858957039, 524866315148092 @ -163, -26, -213
158929446916050, 103990827096452, 231247768851240 @ 104, 103, 121
252227819340623, 297045207886766, 287364155527121 @ 60, 31, -68
353843214482102, 285898655957210, 402144043314484 @ -112, -98, -69
286960863445446, 376276907993440, 222153547640848 @ 34, -15, -51
319293209745416, 258199711416220, 334319212032088 @ -75, -42, -18
324432786186812, 349882976659793, 137109423781624 @ -91, -102, 247
237574994443745, 316897394285108, 379979722976610 @ 18, -131, -47
383515921182651, 311739218003626, 363284835363396 @ -158, -105, -61
260527439500358, 181469835811736, 325064698571908 @ -14, -11, 35
